"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF548",114.005000794978,-0.266633764864188,0.165633913245128,-1.60977760918796,0.107446415022578,0.366444929828126
"TRAPPC6A",114.056549095896,-0.271963334931279,0.214816598107176,-1.26602570438059,0.205503879748576,0.519520344907135
"FANCL",112.292812127458,-0.0713229710638872,0.126323587382041,-0.564605332559034,0.57234223738278,0.821433847692938
"ARHGAP27",113.364565348331,-0.278130364849377,0.15660130755049,-1.77604114039536,0.0757261364847042,0.30315561278768
"POC1B",112.937390447932,-0.195374232973778,0.168383599550819,-1.16029253142799,0.245929724252105,0.564586093805698
"ZNF426",113.083930772734,-0.119755876769142,0.16328601726238,-0.733411707731896,0.463307360610909,0.752127715757478
"PLEKHA2",112.565559335378,0.124823025248705,0.184472621123903,0.676647973494482,0.498629333340184,0.777935706857847
"SLIT3",112.526447886735,-0.562790536596618,0.230118582668996,-2.44565445375674,0.0144589502510405,0.106216066662178
"ZC3H12A",114.806903628069,0.138931976813695,0.32703472378276,0.424823319085785,0.670965477088969,0.86957330344113
"SOX4",113.71200273988,0.663918502347087,0.232308525760111,2.85791707460909,0.00426431817071778,0.0467457498783166
"B3GAT3",113.075087910964,0.471993973231733,0.239064909342141,1.97433397703815,0.0483437798972359,0.233830165528053
"GSAP",112.03265558247,-0.100647770881691,0.22401469024957,-0.449290940560916,0.653221792200419,0.862966761890855
"KLF8",111.170087352741,-0.200513409914185,0.189583170987759,-1.05765405689481,0.290213188059068,0.608767881781442
"IMMP2L",112.985451779373,-0.034940146061204,0.126842477987449,-0.275460922993489,0.782962143844119,0.917786377315802
"RSAD2",110.279597196115,-0.382880893992286,0.276564418321918,-1.38441848852232,0.166230350986401,0.466516253176579
"MICU3",112.644541299667,-0.192669999328088,0.161834268761762,-1.1905389433416,0.233834633140032,0.551512862023008
"GMEB1",112.083219565046,0.220752997531989,0.151654647683957,1.45562962232474,0.145495034642206,0.435014074890734
"WIPF1",112.40262788595,0.0232942811606782,0.167636268245211,0.138957287730864,0.88948390096877,0.961315761152972
"PLCE1",112.706922468666,-0.359187748169354,0.208204310562414,-1.72516960479394,0.084496911633112,0.32302352105553
"MED8",111.612260225612,0.129658919161553,0.198554394639504,0.653014602859644,0.513746864339923,0.786705819718987
"KIF3A",112.0281917229,-0.0837692437484122,0.187610270288911,-0.446506705733174,0.655231269823394,0.86376952385178
"DNAJC12",111.785161972661,0.577034807927005,0.248088161048174,2.32592641861276,0.0200224763960507,0.133335470864034
"TMEM141",112.493552686494,-0.156122544555532,0.232196765638891,-0.672371745256486,0.501347065655946,0.779586198590593
"ZC3HAV1",110.842117841006,0.0781973976109532,0.218674545567447,0.35759716526693,0.720644800010934,0.891802795715786
"C3orf58",111.626925167234,-0.0148874829904445,0.172908267332729,-0.0861004694575786,0.931386550438843,0.976600702372898
"PPP1R21",111.512013194661,0.0851779923319144,0.143710962722661,0.59270351209249,0.553379590605999,0.811155605088863
"ETV6",111.233048640562,0.0689039260144582,0.22480799425938,0.306501226708859,0.7592230459718,0.909494135899897
"ADCY5",112.87851548802,-0.301863410965853,0.180886374845472,-1.66880126390796,0.0951567721669926,0.344635008509108
"NIPA1",110.722234316148,0.136003467800354,0.165031572266711,0.824105750992641,0.409879472717576,0.7113240602854
"MAMLD1",112.794279756212,-0.339339203903498,0.180031411549101,-1.88488887013447,0.0594448430699879,0.264116220991602
"MED11",109.902770977418,0.357207320547962,0.215384617107147,1.65846254642346,0.0972241411766866,0.347858203436764
"B3GALT1",112.474643776126,-0.293411067969603,0.276619738018343,-1.06070185038692,0.288825418798641,0.607653535510765
"GUCY1B1",111.811541888645,0.128298097126805,0.176262423356253,0.727881159715451,0.466686337124947,0.754914573575987
"TBCEL",111.472365608944,-0.145460399797732,0.169275621752717,-0.859310976333173,0.39016897001803,0.696671515600776
