"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAPDH",148448.228474346,-0.17352448676055,0.142188122008761,-1.22038665613614,0.222318333415068,0.999808762331561
"PYGM",129904.434414435,-0.160492685544087,0.149079569160294,-1.07655721335981,0.28167812784605,0.999808762331561
"MYL1",120446.534572497,-0.0983810304807197,0.181525316939616,-0.541968647345462,0.587840104603835,0.999808762331561
"ENO3",119003.014798741,-0.377860250221597,0.20999604689054,-1.79936839677061,0.0719604252816028,0.999808762331561
"TNNT1",115438.953525995,0.257101173870855,0.288758144944423,0.89036856058325,0.373268018157218,0.999808762331561
"MYL2",110454.386436926,0.20018518466946,0.253624847047643,0.789296423436998,0.429938776538376,0.999808762331561
"ACTN2",109979.489683577,-0.274213783961038,0.168260111963389,-1.62970166108473,0.103164566141841,0.999808762331561
"NRAP",105694.505924633,-0.360426634267408,0.261217915857405,-1.37979293297846,0.167650409165971,0.999808762331561
"ATP2A1",103849.874636543,-0.290957407413039,0.268365946158465,-1.08418154977545,0.278284310518282,0.999808762331561
"ATP2A2",96728.0335072027,0.384099058895822,0.305240743764747,1.25834793271193,0.208265953286278,0.999808762331561
"TCAP",97428.525936483,-0.0122225173098833,0.224352141639382,-0.0544791648547287,0.956553407970968,0.999808762331561
"TNNI1",97575.506170821,0.231395361879126,0.241049653186149,0.959948951681054,0.337080907604382,0.999808762331561
"CMYA5",89470.8618207297,0.0983262625612561,0.16680683548869,0.589461830345215,0.555551509920392,0.999808762331561
"TNNT3",90229.0726571076,-0.420529549100774,0.289899014479539,-1.45060703243769,0.146889315953446,0.999808762331561
"XIRP2",83235.7897249682,-0.210375709294753,0.366593690544828,-0.573866148601997,0.56605838180248,0.999808762331561
"TNNC2",81445.2721803842,-0.406068743752983,0.281974699177181,-1.44008928793227,0.149842139357013,0.999808762331561
"MT-ND6",76960.7869450166,-0.0656068157729526,0.230059826036895,-0.28517284787667,0.775511721302069,0.999808762331561
"TPM3",75821.429262315,0.174810949894318,0.245763856145699,0.711296415330835,0.476900572470439,0.999808762331561
"MT-ND4L",73844.6486867015,0.121399091714383,0.250527360444499,0.484574185825412,0.627978428696888,0.999808762331561
"TPM1",68673.192201762,-0.482000937947307,0.278642477410029,-1.72981859200897,0.0836626916169796,0.999808762331561
"TNNC1",65208.7101784438,0.165619548007626,0.251758872317077,0.657849896146009,0.510634588745785,0.999808762331561
"MT-ND3",64975.043262642,0.125017383109511,0.235401015395842,0.531082599194766,0.595361541843175,0.999808762331561
"CA3",60778.073099565,-0.0850351293820337,0.202963332897818,-0.418967939518634,0.675239563330513,0.999808762331561
"OBSCN",60522.0396336398,-0.142899353635964,0.190659925974188,-0.749498631691016,0.453556723051189,0.999808762331561
"RYR1",59989.3612769484,-0.0847320024609583,0.163272803381894,-0.518959684074088,0.60378885574307,0.999808762331561
"MYBPC2",59105.7699313961,-0.245515658344314,0.367949755018552,-0.667253218668227,0.504610402640998,0.999808762331561
"MYH1",57475.0278987161,0.181956960197678,0.829948451868431,0.21923886933947,0.826463978559102,0.999808762331561
"KLHL41",58246.8646460489,-0.264340777375332,0.20098351497155,-1.31523611482639,0.188430561149556,0.999808762331561
"YBX3",56289.229469747,-0.0789640150241257,0.110475039071939,-0.714767930271617,0.474752454616798,0.999808762331561
"PDE4DIP",55936.864649328,0.0500448834819333,0.160322947867117,0.312150469709507,0.754926172070316,0.999808762331561
"TPT1",54758.5996283504,-0.0295005607512635,0.135075061452818,-0.218401238792464,0.827116500418784,0.999808762331561
"MYLPF",54347.9910938459,-0.451039846446817,0.321074028874499,-1.40478458512482,0.160085344239468,0.999808762331561
"LDB3",52366.1493058442,-0.0741844549269402,0.118315985106962,-0.627002808283892,0.530657394327631,0.999808762331561
"XIRP1",53102.4231367493,-0.194573659801466,0.767628729551115,-0.253473655050985,0.799902216792747,0.999808762331561
"EEF2",47997.0262085488,-0.178342244656972,0.126515658420131,-1.40964562714234,0.158644347208169,0.999808762331561
"TNNI2",47531.8051388481,-0.554670537335645,0.295183205117042,-1.87907214136968,0.0602346434527935,0.999808762331561
"PDLIM3",46834.5688893412,-0.318051583018417,0.180954997483691,-1.75762807018956,0.0788108139660237,0.999808762331561
"MYOZ1",45718.1542963324,-0.0345908779274926,0.120617511668577,-0.286781558075404,0.77427958461388,0.999808762331561
"SYNPO",45134.9767436617,-0.0237252188108013,0.140555429441219,-0.168796174613257,0.865956967367267,0.999808762331561
"PKM",44476.6284294097,-0.21405989839792,0.168856780830927,-1.26770093178701,0.204904771926843,0.999808762331561
"EEF1A2",43718.5917356522,-0.160865760916393,0.170982936072253,-0.940829328421494,0.346792328628811,0.999808762331561
"CASQ1",41199.2410801213,-0.166926157473341,0.132644386005392,-1.25844871766043,0.208229522488882,0.999808762331561
"CSDE1",37611.5363944877,0.011935421676446,0.127603195036915,0.0935354453545864,0.925478191792709,0.999808762331561
"SYNPO2",37166.1841821757,0.00445104688795473,0.204194745336115,0.0217980481359992,0.982609051179986,0.999808762331561
"SVIL",36636.3986735745,0.0831168040985011,0.183875165974591,0.452028438195872,0.65124849558716,0.999808762331561
"HSPB7",36446.8008390604,-0.183890920040623,0.203421321129659,-0.90399039303954,0.366000495539536,0.999808762331561
"ZNF106",35923.5973464745,0.0640066089500001,0.245144676798804,0.261097282575432,0.794017487210751,0.999808762331561
"TRDN",34765.8609797722,0.0496307775428592,0.13127292022549,0.378073234431042,0.705376191019954,0.999808762331561
"MYL3",33086.7013671608,0.259226774916026,0.257787409271994,1.00558353741207,0.314615946290501,0.999808762331561
"SLN",32628.2372290698,-0.136042949879279,0.193330600770452,-0.703680376190458,0.481631843873131,0.999808762331561
"ATP5F1B",31699.5778110862,-0.0017241698069948,0.128152312573228,-0.0134540670579751,0.989265531459873,0.999808762331561
"MYOT",31646.3748353355,-0.0368204625812369,0.166876664649811,-0.220644765752625,0.825369041935888,0.999808762331561
"MYOM1",30530.3234130903,-0.0772592117834828,0.166568874819164,-0.463827421943982,0.642771395052653,0.999808762331561
"ATP1A2",29992.4281226754,0.0840962275945501,0.157209267034238,0.534931745316483,0.59269705570667,0.999808762331561
"SLC25A4",29512.9677845454,-0.0381016251619129,0.15070482770716,-0.252822857380187,0.800405103749805,0.999808762331561
